1:52:57	ARS 50.00	UC__HNc2Q9t6fH5cXnqrH-lw	💗🥄ケンジ 【一般紳士A】	迷宮の上で大きな幽霊やカボチャの立ち絵を作ったほうがいいかも:ghost:？
3:22:45	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	めっちゃ癒されたし幸せな時間だった!今日はぐっすり眠れそう! りんちゃん大好き！一緒にねんねんしようね！
3:23:31	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	癒やされる時間をありがとう!この後は暖かくしてゆっくり休んでね!りんちゃんずっと大好き!愛してるよ!
41:37	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん、今夜は先に寝るね！おやすみ！
2:11:30	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！無理しないでゆっくり休んでよくなってね！りんちゃんの身体が一番大切だから！むしろ無理せず言ってくれて嬉しいよ！お大事にね！りんちゃん大好き愛してるよ！
29:15	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん!楽しかった!
3:27:30	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！今日もたくさん癒された！幸せな時間をありがとう！しばらく会えないのは寂しいけど、りんちゃんが帰ってくるのをいつまでも待ってるよ！りんちゃん好き好き大好き！愛してるよ！
1:03:17	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	気持ち良すぎてとけてる
1:29:57	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃんお酒弱いんだね、かわいい！りんちゃん大好きだよ！
3:20:26	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	今日もりんちゃんの優しさに癒されたよ！俺の方がもっともっとりんちゃん大好きだし愛してるよ！
17:22	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん、11ヶ月おめでとう！喉の調子をみながら無理しないでね！りんちゃん大好きだよ！
2:57:28	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！雑談とお歌も沢山聞けて楽しかった！ゆっくり休んでね！りんちゃん大好き愛してるよ！
3:24:47	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！ゆっくり休んでね！りんちゃん大好きだよ！
3:20:09	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	最高の癒し時間だったよ！今日もぐっすり眠れそう！この後はゆっくり休んでね！りんちゃん大好き、愛してるよ！
2:32:06	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！マイクラの音ASMRみたいで聞いてて楽しかった！ゆっくり休んでね！りんちゃん大好きだよ！
3:56:00	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！りんちゃんのかわいい歌声聞けて楽しかったよ！喉のケアしてゆっくり休んでね！凛ちゃん大好き愛してるよ！
3:20:48	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！今日もたくさん癒されたのでぐっすり眠れそう！ゆっくり休んでね！りんちゃん大好き、愛してるよ！
2:29:39	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつりんりん！一周年記念楽しみ！この後ご飯食べてゆっくり休んでね！りんちゃん大好き愛してるよ！
2:32:46	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん大好き愛してるよ！
6:25:30	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	おつくまぽんず！楽しかったよ！
3:00:13	ARS 50.00	UC_c6LPK8bYlKbnW5x6LoVhA	ゼェルイ	りんちゃん大好き！いい子で待ってる！楽しい休みを過ごしてね！
44:37	NT$150.00	UC_nxiRVfJloJQoqQiUiErCQ	Cobra Chen	nice asmr
2:32:43	NT$150.00	UC_nxiRVfJloJQoqQiUiErCQ	Cobra Chen	love your voice, always help me sleep well.りん最高！
30:37	NT$150.00	UC_nxiRVfJloJQoqQiUiErCQ	Cobra Chen	Happy Birthday Rin~~~
1:16:35	NT$150.00	UC_nxiRVfJloJQoqQiUiErCQ	Cobra Chen	助かる
53:07	NT$300.00	UC_nxiRVfJloJQoqQiUiErCQ	Cobra Chen	收益復活おめでとう~~
1:33:48	NT$300.00	UC_ohdK0efsGaaY5tWDdHdhQ	ze Ro	私はプレデターバスです，台湾ファン　頑張って！
7:18	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	凛凛が大好き□□□
9:35	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	久しぶりのSCこんばんは~□□□
3:25:34	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	おやすみ(｡･ω･｡)ﾉ♡□
1:30:40	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	おやすみ (¦3____] :_ふにゃふにゃりん:
2:20:05	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	世界で一番可愛い凛ちゃん□
2:38	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	50000おめでとう(〃'▽'〃)今日は頑張ってね(｡･ω･｡)ﾉ♡
1:38:40	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	Happy Halloween！:_わらい::_わらい::_わらい:
9:51	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	どんなことがあっても、私たちはいつもあなたを応援して、付き添っています:red_heart:
50:37	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	凛ちゃん、目標達成おめでとう。あとは次の目標だ、みんなが一歩一歩一緒に歩いていく(⺣◡⺣)♡
46:07	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:red_heart:
1:28:42	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	2021年最後のSC、あなたを愛した1年が終わりました
1:30:39	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	2022年最初のSC、もっとあなたを愛した年が始まりました
12:36	NT$1,500.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	昨日の夜は生放送を見て寝ていました。遅ればせながらのお祝い、6万人登録者おめでとう□□□
33:06	NT$150.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	祝、りんちゃんYoutube 3.5万チャンネル登録達成！寂しくしないで、私たちずっといますーー凛々花全員より
8:34	NT$150.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	□□□
8:39	NT$150.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	□□□
2:29	NT$150.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:_花スパ::_花スパ:
9:45	NT$150.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:red_heart:
18:21	NT$150.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:camera_with_flash::camera_with_flash::camera_with_flash::_びっくりん::camera_with_flash::camera_with_flash::camera_with_flash:
45:59	NT$150.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	
8:27	NT$30.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	□
8:28	NT$30.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	□
8:44	NT$300.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	□
8:47	NT$300.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	□
2:29	NT$300.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:_花スパ::_花スパ::_花スパ:
9:47	NT$300.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:red_heart:
3:11:56	NT$300.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:_てれりん:
5:15	NT$300.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:_びっくりん::_びっくりん::_びっくりん:
46:03	NT$300.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	
31:41	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	祝、りんちゃんYoutube 3.5万チャンネル登録達成！寂しくしないで、私たちずっといますーー凛々花全員より
8:29	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	□□
8:30	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	□□
17:00	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	遅れました(*/ω＼*)
2:28	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:_花スパ:
9:43	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:red_heart:
7:57	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:_びっくりん::_びっくりん::_びっくりん:
10:12	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::_びっくりん:
13:00	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	Miss Rin、今日の件についてのご返事はいかがですか:camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash:
21:26	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash::_びっくりん::microphone::camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash:
25:12	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:microphone::_びっくりん:他に質問がある記者はいますか:camera_with_flash::camera_with_flash::camera_with_flash:
39:39	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:microphone::_びっくりん:本日の記者会見にご参加いただきありがとうございます、他に記者質問はございませんか:camera_with_flash::camera_with_flash::camera_with_flash:
45:57	NT$75.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	
8:52	NT$750.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	□□
8:57	NT$750.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	□□
2:31	NT$750.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	□
9:49	NT$750.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	:red_heart:
46:05	NT$750.00	UC_UYL-SnO6qhVoYPqKeNEzA	若_入戏	
1:49:54	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:50:22	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:50:55	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:51:18	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:52:42	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:53:03	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:53:24	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:53:46	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:54:10	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:54:36	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:55:04	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:55:39	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:56:00	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:56:28	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:56:54	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:58:25	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:59:02	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
1:59:28	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:00:19	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:01:18	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:01:47	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:02:17	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:03:25	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:03:56	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:04:26	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:06:50	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:07:12	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:08:16	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:08:52	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:09:49	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:12:36	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:12:59	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:13:26	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:13:48	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:14:22	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:15:03	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:15:24	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:15:51	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:16:15	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:16:39	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:17:16	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:17:38	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:18:26	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:18:57	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:19:35	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:19:59	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:20:23	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:20:49	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:23:40	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:24:20	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:24:43	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:25:49	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:26:42	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:27:58	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:28:45	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:31:29	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:35:11	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:36:01	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:37:09	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:37:32	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:38:47	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:40:16	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:40:38	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:41:13	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:41:46	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:42:48	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:43:10	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
2:52:35	NT$15.00	UC_xiV7EddeBJKHYwnuPCFXg	乄sinro☣️冷非顏☣️乄消失中	
